"Public health unit","Outcome","Week start date","Week end date","Surveillance period","Surveillance week","Number","Population","Number per 100,000 population"
Algoma Public Health,COVID-19 hospital admissions,01MAR2026,07MAR2026,2025-26,09,0,129995,0
Algoma Public Health,COVID-19 hospital admissions,08MAR2026,14MAR2026,2025-26,10,0,129995,0
Algoma Public Health,COVID-19 hospital admissions,15MAR2026,21MAR2026,2025-26,11,0,129995,0
Algoma Public Health,COVID-19 hospital admissions,22MAR2026,28MAR2026,2025-26,12,0,129995,0
Algoma Public Health,COVID-19 hospital admissions,29MAR2026,04APR2026,2025-26,13,0,129995,0
Algoma Public Health,COVID-19 hospital admissions,05APR2026,11APR2026,2025-26,14,0,129995,0
Algoma Public Health,COVID-19 hospital admissions,12APR2026,18APR2026,2025-26,15,0,129995,0
Algoma Public Health,COVID-19 hospital admissions,19APR2026,25APR2026,2025-26,16,0,129995,0
Algoma Public Health,COVID-19 hospital admissions,26APR2026,02MAY2026,2025-26,17,0,129995,0
Algoma Public Health,COVID-19 hospital admissions,03MAY2026,09MAY2026,2025-26,18,0,129995,0
Algoma Public Health,COVID-19 hospital admissions,10MAY2026,16MAY2026,2025-26,19,0,129995,0
Algoma Public Health,COVID-19 hospital admissions,17MAY2026,23MAY2026,2025-26,20,0,129995,0
Algoma Public Health,COVID-19 hospital admissions,24MAY2026,30MAY2026,2025-26,21,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),25AUG2024,31AUG2024,2024-25,35,1,126589,0.8
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),01SEP2024,07SEP2024,2024-25,36,0.8571428571,126589,0.7
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),08SEP2024,14SEP2024,2024-25,37,2,126589,1.6
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),15SEP2024,21SEP2024,2024-25,38,0.8571428571,126589,0.7
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),22SEP2024,28SEP2024,2024-25,39,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),29SEP2024,05OCT2024,2024-25,40,1.1428571429,126589,0.9
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),06OCT2024,12OCT2024,2024-25,41,2.8571428571,126589,2.3
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),13OCT2024,19OCT2024,2024-25,42,3.8571428571,126589,3
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),20OCT2024,26OCT2024,2024-25,43,1.5714285714,126589,1.2
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),27OCT2024,02NOV2024,2024-25,44,1.8571428571,126589,1.5
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),03NOV2024,09NOV2024,2024-25,45,2.1428571429,126589,1.7
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),10NOV2024,16NOV2024,2024-25,46,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),17NOV2024,23NOV2024,2024-25,47,0.8571428571,126589,0.7
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),24NOV2024,30NOV2024,2024-25,48,1.4285714286,126589,1.1
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),01DEC2024,07DEC2024,2024-25,49,0.7142857143,126589,0.6
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),08DEC2024,14DEC2024,2024-25,50,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),15DEC2024,21DEC2024,2024-25,51,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),22DEC2024,28DEC2024,2024-25,52,1.2857142857,126589,1
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),29DEC2024,04JAN2025,2024-25,01,0.5714285714,126589,0.5
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),05JAN2025,11JAN2025,2024-25,02,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),12JAN2025,18JAN2025,2024-25,03,0.8571428571,126589,0.7
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),19JAN2025,25JAN2025,2024-25,04,1.4285714286,126589,1.1
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),26JAN2025,01FEB2025,2024-25,05,1.7142857143,126589,1.4
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),02FEB2025,08FEB2025,2024-25,06,1.1428571429,126589,0.9
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),09FEB2025,15FEB2025,2024-25,07,0.7142857143,126589,0.6
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),16FEB2025,22FEB2025,2024-25,08,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),23FEB2025,01MAR2025,2024-25,09,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),02MAR2025,08MAR2025,2024-25,10,0.4285714286,126589,0.3
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),09MAR2025,15MAR2025,2024-25,11,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),16MAR2025,22MAR2025,2024-25,12,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),23MAR2025,29MAR2025,2024-25,13,0.2857142857,126589,0.2
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),30MAR2025,05APR2025,2024-25,14,0.4285714286,126589,0.3
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),06APR2025,12APR2025,2024-25,15,0.2857142857,126589,0.2
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),13APR2025,19APR2025,2024-25,16,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),20APR2025,26APR2025,2024-25,17,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),27APR2025,03MAY2025,2024-25,18,0.2857142857,126589,0.2
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),04MAY2025,10MAY2025,2024-25,19,0.2857142857,126589,0.2
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),11MAY2025,17MAY2025,2024-25,20,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),18MAY2025,24MAY2025,2024-25,21,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),25MAY2025,31MAY2025,2024-25,22,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),01JUN2025,07JUN2025,2024-25,23,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),08JUN2025,14JUN2025,2024-25,24,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),15JUN2025,21JUN2025,2024-25,25,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),22JUN2025,28JUN2025,2024-25,26,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),29JUN2025,05JUL2025,2024-25,27,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),06JUL2025,12JUL2025,2024-25,28,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),13JUL2025,19JUL2025,2024-25,29,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),20JUL2025,26JUL2025,2024-25,30,0.8571428571,126589,0.7
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),27JUL2025,02AUG2025,2024-25,31,0.7142857143,126589,0.6
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),03AUG2025,09AUG2025,2024-25,32,0.1428571429,126589,0.1
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),10AUG2025,16AUG2025,2024-25,33,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),17AUG2025,23AUG2025,2024-25,34,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),24AUG2025,30AUG2025,2025-26,35,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),31AUG2025,06SEP2025,2025-26,36,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),07SEP2025,13SEP2025,2025-26,37,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),14SEP2025,20SEP2025,2025-26,38,0.5714285714,129995,0.4
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),21SEP2025,27SEP2025,2025-26,39,0.4285714286,129995,0.3
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),28SEP2025,04OCT2025,2025-26,40,0.2857142857,129995,0.2
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),05OCT2025,11OCT2025,2025-26,41,0.4285714286,129995,0.3
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),12OCT2025,18OCT2025,2025-26,42,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),19OCT2025,25OCT2025,2025-26,43,0.2857142857,129995,0.2
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),26OCT2025,01NOV2025,2025-26,44,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),02NOV2025,08NOV2025,2025-26,45,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),09NOV2025,15NOV2025,2025-26,46,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),16NOV2025,22NOV2025,2025-26,47,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),23NOV2025,29NOV2025,2025-26,48,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),30NOV2025,06DEC2025,2025-26,49,0.1428571429,129995,0.1
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),07DEC2025,13DEC2025,2025-26,50,1,129995,0.8
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),14DEC2025,20DEC2025,2025-26,51,0.5714285714,129995,0.4
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),21DEC2025,27DEC2025,2025-26,52,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),28DEC2025,03JAN2026,2025-26,53,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),04JAN2026,10JAN2026,2025-26,01,0.7142857143,129995,0.5
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),11JAN2026,17JAN2026,2025-26,02,1.2857142857,129995,1
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),18JAN2026,24JAN2026,2025-26,03,1.4285714286,129995,1.1
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),25JAN2026,31JAN2026,2025-26,04,1.1428571429,129995,0.9
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),01FEB2026,07FEB2026,2025-26,05,0.1428571429,129995,0.1
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),08FEB2026,14FEB2026,2025-26,06,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),15FEB2026,21FEB2026,2025-26,07,0.7142857143,129995,0.5
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),22FEB2026,28FEB2026,2025-26,08,0.2857142857,129995,0.2
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),01MAR2026,07MAR2026,2025-26,09,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),08MAR2026,14MAR2026,2025-26,10,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),15MAR2026,21MAR2026,2025-26,11,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),22MAR2026,28MAR2026,2025-26,12,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),29MAR2026,04APR2026,2025-26,13,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),05APR2026,11APR2026,2025-26,14,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),12APR2026,18APR2026,2025-26,15,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),19APR2026,25APR2026,2025-26,16,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),26APR2026,02MAY2026,2025-26,17,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),03MAY2026,09MAY2026,2025-26,18,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),10MAY2026,16MAY2026,2025-26,19,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),17MAY2026,23MAY2026,2025-26,20,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),24MAY2026,30MAY2026,2025-26,21,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (total),25AUG2024,31AUG2024,2024-25,35,4.2857142857,126589,3.4
Algoma Public Health,COVID-19 hospital bed occupancy (total),01SEP2024,07SEP2024,2024-25,36,3,126589,2.4
Algoma Public Health,COVID-19 hospital bed occupancy (total),08SEP2024,14SEP2024,2024-25,37,4.7142857143,126589,3.7
Algoma Public Health,COVID-19 hospital bed occupancy (total),15SEP2024,21SEP2024,2024-25,38,4.2857142857,126589,3.4
Algoma Public Health,COVID-19 hospital bed occupancy (total),22SEP2024,28SEP2024,2024-25,39,3.5714285714,126589,2.8
Algoma Public Health,COVID-19 hospital bed occupancy (total),29SEP2024,05OCT2024,2024-25,40,3.5714285714,126589,2.8
Algoma Public Health,COVID-19 hospital bed occupancy (total),06OCT2024,12OCT2024,2024-25,41,6.2857142857,126589,5
Algoma Public Health,COVID-19 hospital bed occupancy (total),13OCT2024,19OCT2024,2024-25,42,13.714285714,126589,10.8
Algoma Public Health,COVID-19 hospital bed occupancy (total),20OCT2024,26OCT2024,2024-25,43,13.428571429,126589,10.6
Algoma Public Health,COVID-19 hospital bed occupancy (total),27OCT2024,02NOV2024,2024-25,44,9.2857142857,126589,7.3
Algoma Public Health,COVID-19 hospital bed occupancy (total),03NOV2024,09NOV2024,2024-25,45,11,126589,8.7
Algoma Public Health,COVID-19 hospital bed occupancy (total),10NOV2024,16NOV2024,2024-25,46,3.1428571429,126589,2.5
Algoma Public Health,COVID-19 hospital bed occupancy (total),17NOV2024,23NOV2024,2024-25,47,3.4285714286,126589,2.7
Algoma Public Health,COVID-19 hospital bed occupancy (total),24NOV2024,30NOV2024,2024-25,48,5.7142857143,126589,4.5
Algoma Public Health,COVID-19 hospital bed occupancy (total),01DEC2024,07DEC2024,2024-25,49,6.2857142857,126589,5
Algoma Public Health,COVID-19 hospital bed occupancy (total),08DEC2024,14DEC2024,2024-25,50,2.7142857143,126589,2.1
Algoma Public Health,COVID-19 hospital bed occupancy (total),15DEC2024,21DEC2024,2024-25,51,6.5714285714,126589,5.2
Algoma Public Health,COVID-19 hospital bed occupancy (total),22DEC2024,28DEC2024,2024-25,52,8.8571428571,126589,7
Algoma Public Health,COVID-19 hospital bed occupancy (total),29DEC2024,04JAN2025,2024-25,01,5.4285714286,126589,4.3
Algoma Public Health,COVID-19 hospital bed occupancy (total),05JAN2025,11JAN2025,2024-25,02,3.8571428571,126589,3
Algoma Public Health,COVID-19 hospital bed occupancy (total),12JAN2025,18JAN2025,2024-25,03,4.7142857143,126589,3.7
Algoma Public Health,COVID-19 hospital bed occupancy (total),19JAN2025,25JAN2025,2024-25,04,6.1428571429,126589,4.9
Algoma Public Health,COVID-19 hospital bed occupancy (total),26JAN2025,01FEB2025,2024-25,05,6.8571428571,126589,5.4
Algoma Public Health,COVID-19 hospital bed occupancy (total),02FEB2025,08FEB2025,2024-25,06,5.5714285714,126589,4.4
Algoma Public Health,COVID-19 hospital bed occupancy (total),09FEB2025,15FEB2025,2024-25,07,5.4285714286,126589,4.3
Algoma Public Health,COVID-19 hospital bed occupancy (total),16FEB2025,22FEB2025,2024-25,08,11,126589,8.7
Algoma Public Health,COVID-19 hospital bed occupancy (total),23FEB2025,01MAR2025,2024-25,09,16,126589,12.6
Algoma Public Health,COVID-19 hospital bed occupancy (total),02MAR2025,08MAR2025,2024-25,10,5.7142857143,126589,4.5
Algoma Public Health,COVID-19 hospital bed occupancy (total),09MAR2025,15MAR2025,2024-25,11,1.5714285714,126589,1.2
Algoma Public Health,COVID-19 hospital bed occupancy (total),16MAR2025,22MAR2025,2024-25,12,2.4285714286,126589,1.9
Algoma Public Health,COVID-19 hospital bed occupancy (total),23MAR2025,29MAR2025,2024-25,13,3.1428571429,126589,2.5
Algoma Public Health,COVID-19 hospital bed occupancy (total),30MAR2025,05APR2025,2024-25,14,2.7142857143,126589,2.1
Algoma Public Health,COVID-19 hospital bed occupancy (total),06APR2025,12APR2025,2024-25,15,1.2857142857,126589,1
Algoma Public Health,COVID-19 hospital bed occupancy (total),13APR2025,19APR2025,2024-25,16,1,126589,0.8
Algoma Public Health,COVID-19 hospital bed occupancy (total),20APR2025,26APR2025,2024-25,17,1.8571428571,126589,1.5
Algoma Public Health,COVID-19 hospital bed occupancy (total),27APR2025,03MAY2025,2024-25,18,5.7142857143,126589,4.5
Algoma Public Health,COVID-19 hospital bed occupancy (total),04MAY2025,10MAY2025,2024-25,19,5.4285714286,126589,4.3
Algoma Public Health,COVID-19 hospital bed occupancy (total),11MAY2025,17MAY2025,2024-25,20,3.8571428571,126589,3
Algoma Public Health,COVID-19 hospital bed occupancy (total),18MAY2025,24MAY2025,2024-25,21,2.5714285714,126589,2
Algoma Public Health,COVID-19 hospital bed occupancy (total),25MAY2025,31MAY2025,2024-25,22,1.5714285714,126589,1.2
Algoma Public Health,COVID-19 hospital bed occupancy (total),01JUN2025,07JUN2025,2024-25,23,1,126589,0.8
Algoma Public Health,COVID-19 hospital bed occupancy (total),08JUN2025,14JUN2025,2024-25,24,1,126589,0.8
Algoma Public Health,COVID-19 hospital bed occupancy (total),15JUN2025,21JUN2025,2024-25,25,1.2857142857,126589,1
Algoma Public Health,COVID-19 hospital bed occupancy (total),22JUN2025,28JUN2025,2024-25,26,1.5714285714,126589,1.2
Algoma Public Health,COVID-19 hospital bed occupancy (total),29JUN2025,05JUL2025,2024-25,27,0.1428571429,126589,0.1
Algoma Public Health,COVID-19 hospital bed occupancy (total),06JUL2025,12JUL2025,2024-25,28,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (total),13JUL2025,19JUL2025,2024-25,29,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (total),20JUL2025,26JUL2025,2024-25,30,0.8571428571,126589,0.7
Algoma Public Health,COVID-19 hospital bed occupancy (total),27JUL2025,02AUG2025,2024-25,31,0.7142857143,126589,0.6
Algoma Public Health,COVID-19 hospital bed occupancy (total),03AUG2025,09AUG2025,2024-25,32,0.7142857143,126589,0.6
Algoma Public Health,COVID-19 hospital bed occupancy (total),10AUG2025,16AUG2025,2024-25,33,0.4285714286,126589,0.3
Algoma Public Health,COVID-19 hospital bed occupancy (total),17AUG2025,23AUG2025,2024-25,34,0,126589,0
Algoma Public Health,COVID-19 hospital bed occupancy (total),24AUG2025,30AUG2025,2025-26,35,0,129995,0
Algoma Public Health,COVID-19 hospital bed occupancy (total),31AUG2025,06SEP2025,2025-26,36,0.7142857143,129995,0.5
Algoma Public Health,COVID-19 hospital bed occupancy (total),07SEP2025,13SEP2025,2025-26,37,2.4285714286,129995,1.9
Algoma Public Health,COVID-19 hospital bed occupancy (total),14SEP2025,20SEP2025,2025-26,38,2.7142857143,129995,2.1
Algoma Public Health,COVID-19 hospital bed occupancy (total),21SEP2025,27SEP2025,2025-26,39,1.7142857143,129995,1.3
Algoma Public Health,COVID-19 hospital bed occupancy (total),28SEP2025,04OCT2025,2025-26,40,3.2857142857,129995,2.5
Algoma Public Health,COVID-19 hospital bed occupancy (total),05OCT2025,11OCT2025,2025-26,41,1.7142857143,129995,1.3
Algoma Public Health,COVID-19 hospital bed occupancy (total),12OCT2025,18OCT2025,2025-26,42,3.7142857143,129995,2.9
Algoma Public Health,COVID-19 hospital bed occupancy (total),19OCT2025,25OCT2025,2025-26,43,6.8571428571,129995,5.3
Algoma Public Health,COVID-19 hospital bed occupancy (total),26OCT2025,01NOV2025,2025-26,44,9.4285714286,129995,7.3
Algoma Public Health,COVID-19 hospital bed occupancy (total),02NOV2025,08NOV2025,2025-26,45,1.2857142857,129995,1
Algoma Public Health,COVID-19 hospital bed occupancy (total),09NOV2025,15NOV2025,2025-26,46,0.5714285714,129995,0.4
